CCL	Drug	AUC
CCL_66	Drug_19	0.8574
CCL_66	Drug_20	0.7311
CCL_66	Drug_21	0.9836
CCL_66	Drug_22	0.8303
CCL_66	Drug_23	0.8742
CCL_66	Drug_24	0.9284
CCL_68	Drug_11	0.7675
CCL_68	Drug_1	0.7548
CCL_68	Drug_2	0.5211
CCL_68	Drug_3	0.9492
CCL_68	Drug_4	0.5049
CCL_68	Drug_5	0.4752
CCL_68	Drug_6	0.9764
CCL_68	Drug_7	0.7184
CCL_68	Drug_8	0.8497
CCL_68	Drug_9	0.3598
CCL_68	Drug_10	0.8266
CCL_68	Drug_17	0.8187
CCL_68	Drug_12	0.9729
CCL_68	Drug_13	0.7775
CCL_68	Drug_14	0.7572
CCL_68	Drug_15	0.7504
CCL_68	Drug_16	0.8352
CCL_68	Drug_18	0.5661
CCL_68	Drug_19	0.8483
CCL_68	Drug_20	0.9738
CCL_68	Drug_21	0.9288
CCL_68	Drug_22	0.7728
CCL_68	Drug_23	0.7851
CCL_68	Drug_24	0.9268
CCL_70	Drug_11	0.7692
CCL_70	Drug_1	0.7777
CCL_70	Drug_2	0.3723
CCL_70	Drug_3	0.7869
CCL_70	Drug_4	0.4433
CCL_70	Drug_5	0.4337
CCL_70	Drug_6	0.8721
CCL_70	Drug_7	0.7955
CCL_70	Drug_8	0.7091
CCL_70	Drug_9	0.1224
CCL_70	Drug_10	0.7852
CCL_70	Drug_17	0.7707
CCL_70	Drug_12	0.8391
CCL_70	Drug_13	0.6042
CCL_70	Drug_14	0.6499
CCL_70	Drug_15	0.6583
CCL_70	Drug_16	0.7842
CCL_70	Drug_18	0.6313
CCL_70	Drug_19	0.7428
CCL_70	Drug_20	0.8045
CCL_70	Drug_21	0.7097
CCL_70	Drug_22	0.8033
CCL_70	Drug_23	0.7265
CCL_70	Drug_24	0.6042
CCL_71	Drug_11	0.8371
CCL_71	Drug_1	0.7903
CCL_71	Drug_2	0.4953
CCL_71	Drug_3	0.8606
CCL_71	Drug_4	0.6468
CCL_71	Drug_5	0.6117
CCL_71	Drug_6	0.8935
CCL_71	Drug_7	0.69
CCL_71	Drug_8	0.7821
CCL_71	Drug_9	0.5328
CCL_71	Drug_10	0.8178
CCL_71	Drug_17	0.8162
CCL_71	Drug_12	0.838
CCL_71	Drug_13	0.6970000000000001
CCL_71	Drug_14	0.7977
CCL_71	Drug_15	0.7613
CCL_71	Drug_16	0.7111
CCL_71	Drug_18	0.6502
CCL_71	Drug_19	0.8052
CCL_71	Drug_20	0.7289
CCL_71	Drug_21	0.8671
CCL_71	Drug_22	0.6565
CCL_71	Drug_23	0.8306
CCL_71	Drug_24	0.8270000000000001
CCL_72	Drug_11	0.8146
CCL_72	Drug_2	0.6056
CCL_72	Drug_3	0.8114
CCL_72	Drug_4	0.6131
CCL_72	Drug_5	0.6015
CCL_72	Drug_6	0.9151
CCL_72	Drug_7	0.8609
CCL_72	Drug_8	1.0
CCL_72	Drug_9	0.5538
CCL_72	Drug_10	0.9203
CCL_72	Drug_17	0.8774
CCL_72	Drug_13	0.7959
CCL_72	Drug_14	0.8448
CCL_72	Drug_15	0.8619
CCL_72	Drug_16	0.9597
CCL_72	Drug_18	0.5949
CCL_72	Drug_19	0.826
CCL_72	Drug_20	0.8073
CCL_72	Drug_21	0.9885
CCL_72	Drug_22	0.8909
CCL_72	Drug_23	0.841
CCL_72	Drug_24	0.9244
CCL_73	Drug_11	0.7727
CCL_73	Drug_1	0.8505
CCL_73	Drug_2	0.473
CCL_73	Drug_3	0.9191
CCL_73	Drug_4	0.6648
CCL_73	Drug_5	0.5429999999999999
CCL_73	Drug_6	0.892
CCL_73	Drug_7	0.5862
CCL_73	Drug_8	0.8211
CCL_73	Drug_9	0.4476
CCL_73	Drug_10	0.7708
CCL_73	Drug_17	0.8136
CCL_73	Drug_12	0.7406
CCL_73	Drug_13	0.7004
CCL_73	Drug_14	0.7629
CCL_73	Drug_15	0.8188
CCL_73	Drug_16	0.9359
CCL_73	Drug_18	0.636
CCL_73	Drug_19	0.8892
CCL_73	Drug_20	0.8179
CCL_73	Drug_21	0.9263
CCL_73	Drug_22	0.8707
CCL_73	Drug_23	0.794
CCL_73	Drug_24	0.8223
CCL_74	Drug_11	0.9341
CCL_74	Drug_1	0.8757
CCL_74	Drug_2	0.4863
CCL_74	Drug_3	0.8238
CCL_74	Drug_4	0.5503
CCL_74	Drug_5	0.5197
CCL_74	Drug_6	0.8657
CCL_74	Drug_7	0.6598
CCL_74	Drug_8	0.9596
CCL_74	Drug_9	0.3708
CCL_74	Drug_10	0.7873
CCL_74	Drug_17	0.8023
CCL_74	Drug_12	0.8452
CCL_74	Drug_13	0.6969
CCL_74	Drug_14	0.7978
CCL_74	Drug_15	0.8122
CCL_74	Drug_16	0.9452
CCL_74	Drug_18	0.5915
CCL_74	Drug_19	0.9529
CCL_74	Drug_20	0.8317
CCL_74	Drug_21	0.9311
CCL_74	Drug_22	0.8447
CCL_74	Drug_23	0.8334
CCL_74	Drug_24	0.8245
CCL_75	Drug_11	0.7478
CCL_75	Drug_1	0.6963
CCL_75	Drug_2	0.5337
CCL_75	Drug_3	0.9775
CCL_75	Drug_5	0.6
CCL_75	Drug_6	0.4206
CCL_75	Drug_7	0.8625
CCL_75	Drug_9	0.2077
CCL_75	Drug_10	0.9862
CCL_75	Drug_12	0.8403
CCL_75	Drug_14	0.7619
CCL_75	Drug_15	0.7431
CCL_75	Drug_16	0.8086
CCL_75	Drug_18	0.6369
CCL_75	Drug_19	0.6446
CCL_75	Drug_20	0.8425
CCL_75	Drug_21	0.913
CCL_75	Drug_22	0.7613
CCL_75	Drug_23	0.8194
CCL_75	Drug_24	0.9404
CCL_78	Drug_11	0.8997
CCL_78	Drug_1	0.8325
CCL_78	Drug_2	0.5141
CCL_78	Drug_3	0.8292
CCL_78	Drug_4	0.6323
CCL_78	Drug_5	0.6812
CCL_78	Drug_6	0.9672
CCL_78	Drug_7	0.8401
CCL_78	Drug_8	0.8736
CCL_78	Drug_9	0.4969
CCL_78	Drug_10	0.9252
CCL_78	Drug_17	0.9907
CCL_78	Drug_12	0.958
CCL_78	Drug_13	0.7805
CCL_78	Drug_14	0.731
CCL_78	Drug_15	0.7641
CCL_78	Drug_16	0.9188
CCL_78	Drug_18	0.6748
CCL_78	Drug_19	0.9853
CCL_78	Drug_20	0.9772
CCL_78	Drug_21	0.8789
CCL_78	Drug_22	0.9427
CCL_78	Drug_23	0.8572
CCL_78	Drug_24	0.8690000000000001
CCL_79	Drug_11	0.7967
CCL_79	Drug_1	0.685
CCL_79	Drug_2	0.4432
CCL_79	Drug_3	0.7242
CCL_79	Drug_4	0.5761
CCL_79	Drug_5	0.6322
CCL_79	Drug_6	0.8562
CCL_79	Drug_7	0.8102
CCL_79	Drug_8	0.8642
CCL_79	Drug_9	0.4481
CCL_79	Drug_10	0.9275
CCL_79	Drug_17	0.7365
CCL_79	Drug_12	0.8568
CCL_79	Drug_13	0.6359
CCL_79	Drug_14	0.7325
CCL_79	Drug_15	0.6503
CCL_79	Drug_16	0.8725
CCL_79	Drug_18	0.4954
CCL_79	Drug_19	0.8292
CCL_79	Drug_20	0.8117
CCL_79	Drug_21	0.8194
CCL_79	Drug_22	0.794
CCL_79	Drug_23	0.8444
CCL_79	Drug_24	0.8143
CCL_80	Drug_11	0.7701
CCL_80	Drug_1	0.8443
CCL_80	Drug_2	0.4962
CCL_80	Drug_3	0.9402
CCL_80	Drug_4	0.5683
CCL_80	Drug_5	0.6457
CCL_80	Drug_6	0.8477
CCL_80	Drug_7	0.6747
CCL_80	Drug_8	1.0
CCL_80	Drug_9	0.2603
CCL_80	Drug_10	0.7646
CCL_80	Drug_17	0.8532
CCL_80	Drug_12	0.9034
CCL_80	Drug_13	0.7824
CCL_80	Drug_14	0.7796
CCL_80	Drug_15	0.7827
CCL_80	Drug_16	0.9785
CCL_80	Drug_18	0.5061
CCL_80	Drug_19	0.8361
CCL_80	Drug_20	0.8941
CCL_80	Drug_21	0.9672
CCL_80	Drug_22	0.9179
CCL_80	Drug_23	0.8733
CCL_80	Drug_24	0.855
CCL_81	Drug_11	0.9212
CCL_81	Drug_1	0.8074
CCL_81	Drug_2	0.4772
CCL_81	Drug_3	0.8276
CCL_81	Drug_5	0.5123
CCL_81	Drug_6	0.913
CCL_81	Drug_7	0.8224
CCL_81	Drug_8	1.0
CCL_81	Drug_9	0.4335
CCL_81	Drug_10	0.8095
CCL_81	Drug_17	0.8983
CCL_81	Drug_12	0.9513
CCL_81	Drug_13	0.769
CCL_81	Drug_14	0.8245
CCL_81	Drug_15	0.8945
CCL_81	Drug_16	0.8370000000000001
CCL_81	Drug_18	0.5871
CCL_81	Drug_19	0.8529
CCL_81	Drug_20	0.8858
CCL_81	Drug_21	0.9478
CCL_81	Drug_22	0.8849
CCL_81	Drug_23	0.9332
CCL_81	Drug_24	0.8749
CCL_82	Drug_11	0.8219
CCL_82	Drug_1	0.757
CCL_82	Drug_2	0.4681
CCL_82	Drug_3	0.8014
CCL_82	Drug_4	0.4970000000000001
CCL_82	Drug_5	0.5095
CCL_82	Drug_6	0.9241
CCL_82	Drug_7	0.5597
CCL_82	Drug_8	0.8593
CCL_82	Drug_9	0.3284
CCL_82	Drug_10	0.665
CCL_82	Drug_17	0.8596
CCL_82	Drug_12	0.8261
CCL_82	Drug_13	0.6828
CCL_82	Drug_14	0.7213
CCL_82	Drug_15	0.7022
CCL_82	Drug_16	0.8343
CCL_82	Drug_18	0.4793
CCL_82	Drug_19	0.8553
CCL_82	Drug_20	0.8076
CCL_82	Drug_21	0.8347
CCL_82	Drug_22	0.9743
CCL_82	Drug_23	0.7691
CCL_82	Drug_24	0.794
CCL_83	Drug_11	0.7294
CCL_83	Drug_1	0.8909
CCL_83	Drug_2	0.4676
CCL_83	Drug_3	0.8069
CCL_83	Drug_4	0.5389
CCL_83	Drug_5	0.6081
CCL_83	Drug_6	0.9519
CCL_83	Drug_7	0.467
CCL_83	Drug_8	0.8799
CCL_83	Drug_9	0.3416
CCL_83	Drug_10	0.6029
CCL_83	Drug_17	0.8178
CCL_83	Drug_12	0.6362
CCL_83	Drug_13	0.6822
CCL_83	Drug_14	0.7139
CCL_83	Drug_15	0.7841
CCL_83	Drug_16	0.8478
CCL_83	Drug_18	0.5935
CCL_83	Drug_19	0.8789
CCL_83	Drug_20	0.8773
CCL_83	Drug_21	0.826
CCL_83	Drug_22	0.9016
CCL_83	Drug_23	0.7941
CCL_83	Drug_24	0.9749
CCL_88	Drug_11	0.7085
CCL_88	Drug_1	0.8346
CCL_88	Drug_2	0.4455
CCL_88	Drug_3	0.792
CCL_88	Drug_4	0.6002
CCL_88	Drug_5	0.6094
CCL_88	Drug_6	0.9056
CCL_88	Drug_7	0.5268
CCL_88	Drug_8	0.9115
CCL_88	Drug_9	0.2945
CCL_88	Drug_10	0.6939
CCL_88	Drug_17	0.7872
CCL_88	Drug_12	0.8390000000000001
CCL_88	Drug_13	0.6414
CCL_88	Drug_14	0.6921
CCL_88	Drug_15	0.752
CCL_88	Drug_16	0.8595
CCL_88	Drug_18	0.4559
CCL_88	Drug_19	0.9549
CCL_88	Drug_20	0.7568
CCL_88	Drug_21	0.8245
CCL_88	Drug_22	0.8339
CCL_88	Drug_23	0.7793
CCL_88	Drug_24	0.966
CCL_89	Drug_11	0.7602
CCL_89	Drug_1	0.8168
CCL_89	Drug_2	0.457
CCL_89	Drug_3	0.9649
CCL_89	Drug_5	0.4217
CCL_89	Drug_6	0.9012
CCL_89	Drug_7	0.884
CCL_89	Drug_8	0.884
CCL_89	Drug_9	0.2722
CCL_89	Drug_10	0.8283
CCL_89	Drug_12	0.8834
CCL_89	Drug_13	0.722
CCL_89	Drug_14	0.7457
CCL_89	Drug_15	0.8143
CCL_89	Drug_16	0.8959999999999999
CCL_89	Drug_18	0.6032
CCL_89	Drug_19	0.9647
CCL_89	Drug_20	0.9832
CCL_89	Drug_21	0.9027
CCL_89	Drug_22	0.8961
CCL_89	Drug_23	0.7905
CCL_89	Drug_24	0.9527
CCL_93	Drug_11	0.8126
CCL_93	Drug_1	0.7068
CCL_93	Drug_2	0.4557
CCL_93	Drug_3	0.8381
CCL_93	Drug_5	0.5659
CCL_93	Drug_6	0.9088
CCL_93	Drug_7	0.7721
CCL_93	Drug_9	0.546
CCL_93	Drug_10	0.8189
CCL_93	Drug_12	0.899
CCL_93	Drug_13	0.6818
CCL_93	Drug_14	0.8212
CCL_93	Drug_15	0.8174
CCL_93	Drug_16	0.7933
CCL_93	Drug_18	0.7041
CCL_93	Drug_19	0.8656
CCL_93	Drug_20	0.8468
CCL_93	Drug_21	0.825
CCL_93	Drug_22	0.8046
CCL_93	Drug_23	0.895
CCL_93	Drug_24	0.9549
CCL_95	Drug_11	0.7398
CCL_95	Drug_1	0.6502
CCL_95	Drug_2	0.3451
CCL_95	Drug_3	0.7471
CCL_95	Drug_4	0.3955
CCL_95	Drug_5	0.3334
CCL_95	Drug_6	0.879
CCL_95	Drug_7	0.8408
CCL_95	Drug_8	0.8740000000000001
CCL_95	Drug_9	0.2643
CCL_95	Drug_10	0.858
CCL_95	Drug_17	0.2764
CCL_95	Drug_12	0.8071
CCL_95	Drug_13	0.6821
CCL_95	Drug_14	0.6786
CCL_95	Drug_15	0.7321
CCL_95	Drug_16	0.8028
CCL_95	Drug_18	0.6351
CCL_95	Drug_19	0.7292
CCL_95	Drug_20	0.8078
CCL_95	Drug_21	0.9001
CCL_95	Drug_22	0.5738
CCL_95	Drug_23	0.6661
CCL_95	Drug_24	0.6773
CCL_98	Drug_11	0.6597
CCL_98	Drug_1	0.7804
CCL_98	Drug_2	0.3748
CCL_98	Drug_3	0.7812
CCL_98	Drug_4	0.5434
CCL_98	Drug_5	0.4876
CCL_98	Drug_6	0.85
CCL_98	Drug_7	0.6567
CCL_98	Drug_8	0.8299
CCL_98	Drug_9	0.3019
CCL_98	Drug_10	0.7888
CCL_98	Drug_17	0.7476
CCL_98	Drug_12	0.8245
CCL_98	Drug_13	0.758
CCL_98	Drug_14	0.6049
CCL_98	Drug_15	0.7537
CCL_98	Drug_16	0.9207
CCL_98	Drug_18	0.4294
CCL_98	Drug_19	0.775
CCL_98	Drug_20	0.7734
CCL_98	Drug_21	0.7794
CCL_98	Drug_22	0.9431
CCL_98	Drug_23	0.7641
CCL_98	Drug_24	0.7721
CCL_99	Drug_11	0.9528
CCL_99	Drug_1	0.7361
CCL_99	Drug_2	0.5245
CCL_99	Drug_3	0.8532
CCL_99	Drug_5	0.7588
CCL_99	Drug_6	0.9022
CCL_99	Drug_7	0.8107
CCL_99	Drug_8	0.8112
CCL_99	Drug_9	0.338
CCL_99	Drug_10	0.9213
CCL_99	Drug_17	0.945
CCL_99	Drug_12	0.9268
CCL_99	Drug_13	0.7685
CCL_99	Drug_14	0.9189
CCL_99	Drug_15	0.7638
CCL_99	Drug_16	0.9435
CCL_99	Drug_18	0.5306
CCL_99	Drug_19	0.8637
CCL_99	Drug_20	0.9551
CCL_99	Drug_21	0.8824
CCL_99	Drug_22	0.8904
CCL_99	Drug_23	0.9862
CCL_99	Drug_24	0.8574
CCL_100	Drug_11	0.7194
CCL_100	Drug_1	0.7905
CCL_100	Drug_2	0.4439
CCL_100	Drug_3	0.815
CCL_100	Drug_4	0.6256
CCL_100	Drug_5	0.7049
CCL_100	Drug_6	0.8741
CCL_100	Drug_7	0.5638
CCL_100	Drug_8	0.9919
CCL_100	Drug_9	0.4742
CCL_100	Drug_10	0.6534
CCL_100	Drug_17	0.8602
CCL_100	Drug_12	0.9197
CCL_100	Drug_13	0.6971
CCL_100	Drug_14	0.6738
CCL_100	Drug_15	0.8067
CCL_100	Drug_16	0.9051
CCL_100	Drug_18	0.5217
CCL_100	Drug_19	0.8238
CCL_100	Drug_20	0.8618
CCL_100	Drug_21	0.9545
CCL_100	Drug_22	0.8267
CCL_100	Drug_23	0.7807
CCL_100	Drug_24	0.9473
CCL_101	Drug_11	0.8319
CCL_101	Drug_1	0.9109
CCL_101	Drug_2	0.4163
CCL_101	Drug_3	0.8179
CCL_101	Drug_5	0.5338
CCL_101	Drug_6	0.8845
CCL_101	Drug_7	0.9767
CCL_101	Drug_8	0.8362
CCL_101	Drug_9	0.268
CCL_101	Drug_10	0.9904
CCL_101	Drug_17	0.8158
CCL_101	Drug_12	0.8334
CCL_101	Drug_13	0.7359
CCL_101	Drug_14	0.9833
CCL_101	Drug_15	0.8099
CCL_101	Drug_16	0.8894
CCL_101	Drug_18	0.5371
CCL_101	Drug_19	0.9582
CCL_101	Drug_20	0.5427
CCL_101	Drug_21	0.9682
CCL_101	Drug_22	0.9617
CCL_101	Drug_23	0.8292
CCL_101	Drug_24	0.8435
CCL_104	Drug_11	0.7743
CCL_104	Drug_1	0.9071
CCL_104	Drug_2	0.4995
CCL_104	Drug_3	0.7803
CCL_104	Drug_4	0.5626
CCL_104	Drug_5	0.5938
CCL_104	Drug_6	0.9333
CCL_104	Drug_7	0.6847
CCL_104	Drug_8	0.947
CCL_104	Drug_9	0.2644
CCL_104	Drug_10	0.7929
CCL_104	Drug_17	0.8113
CCL_104	Drug_12	0.8071
CCL_104	Drug_13	0.74
CCL_104	Drug_14	0.7845
CCL_104	Drug_15	0.8533
CCL_104	Drug_16	0.9414
CCL_104	Drug_18	0.662
CCL_104	Drug_19	0.8259
CCL_104	Drug_20	0.8925
CCL_104	Drug_21	0.9434
CCL_104	Drug_22	0.8493
CCL_104	Drug_23	0.8245
CCL_104	Drug_24	0.9176
CCL_105	Drug_11	0.8707
CCL_105	Drug_1	0.6907
CCL_105	Drug_2	0.5146
CCL_105	Drug_3	0.9377
CCL_105	Drug_5	0.5128
CCL_105	Drug_6	0.9187
CCL_105	Drug_7	0.568
CCL_105	Drug_8	0.7609999999999999
CCL_105	Drug_9	0.2776
CCL_105	Drug_10	0.7537
CCL_105	Drug_17	0.9541
CCL_105	Drug_12	0.9061
CCL_105	Drug_13	0.8012
CCL_105	Drug_14	0.8446
CCL_105	Drug_15	0.8009999999999999
CCL_105	Drug_16	0.9762
CCL_105	Drug_18	0.5789
CCL_105	Drug_19	0.9421
CCL_105	Drug_20	0.9684
CCL_105	Drug_21	0.9099
CCL_105	Drug_22	0.7077
CCL_105	Drug_23	1.0
CCL_105	Drug_24	0.8721
CCL_108	Drug_11	0.8228
CCL_108	Drug_1	0.8575
CCL_108	Drug_2	0.5038
CCL_108	Drug_5	0.6029
CCL_108	Drug_6	0.9372
CCL_108	Drug_7	0.871
CCL_108	Drug_8	0.879
CCL_108	Drug_9	0.4599
CCL_108	Drug_10	0.8983
CCL_108	Drug_17	0.9884
CCL_108	Drug_12	0.9828
CCL_108	Drug_13	0.8614
CCL_108	Drug_14	0.8045
CCL_108	Drug_15	0.7935
CCL_108	Drug_16	0.966
CCL_108	Drug_18	0.613
CCL_108	Drug_19	0.8553
CCL_108	Drug_20	0.9629
CCL_108	Drug_21	0.9022
CCL_108	Drug_22	0.8317
CCL_108	Drug_23	0.823
CCL_108	Drug_24	0.8569
CCL_117	Drug_11	0.8909999999999999
CCL_117	Drug_1	0.9291
CCL_117	Drug_2	0.4655
CCL_117	Drug_3	1.0
CCL_117	Drug_4	0.4633
CCL_117	Drug_5	0.5309
CCL_117	Drug_6	0.9516
CCL_117	Drug_7	0.9885
CCL_117	Drug_8	0.8276
CCL_117	Drug_9	0.2615
CCL_117	Drug_10	0.9822
CCL_117	Drug_17	0.9763
CCL_117	Drug_12	0.8864
CCL_117	Drug_13	0.789
CCL_117	Drug_14	0.8907
CCL_117	Drug_15	0.7695
CCL_117	Drug_16	0.9114
CCL_117	Drug_18	0.6677
CCL_117	Drug_19	1.0
CCL_117	Drug_20	0.7969
CCL_117	Drug_21	0.9929
CCL_117	Drug_22	0.9915
CCL_117	Drug_23	0.79
CCL_117	Drug_24	0.9657
CCL_118	Drug_11	0.8284
CCL_118	Drug_1	0.7168
CCL_118	Drug_2	0.3785
CCL_118	Drug_3	0.9769
CCL_118	Drug_4	0.4609
CCL_118	Drug_5	0.5116
CCL_118	Drug_6	0.9312
CCL_118	Drug_7	0.9877
CCL_118	Drug_8	0.7665
CCL_118	Drug_9	0.3315
CCL_118	Drug_10	0.9728
CCL_118	Drug_17	0.9185
CCL_118	Drug_12	0.929
CCL_118	Drug_13	0.7771
CCL_118	Drug_14	0.8475
CCL_118	Drug_15	0.7494
CCL_118	Drug_16	0.8412
CCL_118	Drug_18	0.5943
CCL_118	Drug_19	0.9236
CCL_118	Drug_20	0.8253
CCL_118	Drug_21	0.9394
CCL_118	Drug_22	0.7218
CCL_118	Drug_23	0.7766
CCL_118	Drug_24	0.9956
CCL_120	Drug_11	0.823
CCL_120	Drug_1	0.8368
CCL_120	Drug_2	0.457
CCL_120	Drug_3	0.8686
CCL_120	Drug_4	0.6713
CCL_120	Drug_5	0.6883
CCL_120	Drug_6	0.8851
CCL_120	Drug_7	0.9317
CCL_120	Drug_8	0.975
CCL_120	Drug_9	0.375
CCL_120	Drug_10	0.9719
CCL_120	Drug_17	0.9283
CCL_120	Drug_12	0.9869
CCL_120	Drug_13	0.8505
CCL_120	Drug_14	0.8118
CCL_120	Drug_15	0.9822
CCL_120	Drug_16	0.7964
CCL_120	Drug_18	0.7849
CCL_120	Drug_19	0.8465
CCL_120	Drug_20	0.8198
CCL_120	Drug_21	0.9618
CCL_120	Drug_22	0.8508
CCL_120	Drug_23	0.9284
CCL_120	Drug_24	0.8238
CCL_121	Drug_11	0.8334
CCL_121	Drug_1	0.8718
CCL_121	Drug_2	0.3755
CCL_121	Drug_3	0.7968
CCL_121	Drug_5	0.8875
CCL_121	Drug_6	0.9699
CCL_121	Drug_7	0.8877
CCL_121	Drug_8	0.7865
CCL_121	Drug_9	0.4995
CCL_121	Drug_10	0.9401
CCL_121	Drug_17	0.8023
CCL_121	Drug_12	0.9311
CCL_121	Drug_13	0.8817
CCL_121	Drug_14	0.8268
CCL_121	Drug_15	0.9408
CCL_121	Drug_16	0.9135
CCL_121	Drug_18	0.462
CCL_121	Drug_19	0.8311
CCL_121	Drug_20	0.5041
CCL_121	Drug_21	0.9444
CCL_121	Drug_22	0.8127
CCL_121	Drug_23	0.8434
CCL_121	Drug_24	0.7849
CCL_123	Drug_11	0.7844
CCL_123	Drug_1	0.7929999999999999
CCL_123	Drug_2	0.5432
CCL_123	Drug_3	0.8136
CCL_123	Drug_4	0.5675
CCL_123	Drug_5	0.5201
CCL_123	Drug_6	0.7813
CCL_123	Drug_7	0.9537
CCL_123	Drug_8	1.0
CCL_123	Drug_9	0.3954
CCL_123	Drug_10	0.928
CCL_123	Drug_17	0.823
CCL_123	Drug_12	0.8238
CCL_123	Drug_13	0.6977
CCL_123	Drug_14	0.7841
CCL_123	Drug_15	0.7845
CCL_123	Drug_16	0.8742
CCL_123	Drug_18	0.4789
CCL_123	Drug_19	0.8434
CCL_123	Drug_20	0.8421
CCL_123	Drug_21	0.8391
CCL_123	Drug_22	0.845
CCL_123	Drug_23	0.8114
CCL_123	Drug_24	0.8459
CCL_125	Drug_11	0.8607
CCL_125	Drug_1	0.7825
CCL_125	Drug_2	0.5014
CCL_125	Drug_3	0.9575
CCL_125	Drug_5	0.6022
CCL_125	Drug_6	0.6746
CCL_125	Drug_7	0.6441
CCL_125	Drug_9	0.3618
CCL_125	Drug_10	0.7125
CCL_125	Drug_12	0.8321
CCL_125	Drug_14	0.7699
CCL_125	Drug_15	0.7987
CCL_125	Drug_16	0.8462
CCL_125	Drug_18	0.581
CCL_125	Drug_19	0.8497
CCL_125	Drug_20	0.7679
CCL_125	Drug_21	0.8971
CCL_125	Drug_22	0.8190000000000001
CCL_125	Drug_23	0.9478
CCL_125	Drug_24	0.8955
CCL_126	Drug_11	0.7527
CCL_126	Drug_1	0.7899
CCL_126	Drug_2	0.4404
CCL_126	Drug_3	0.838
CCL_126	Drug_5	0.7656
CCL_126	Drug_6	0.8352
CCL_126	Drug_7	0.6666
CCL_126	Drug_8	0.8578
CCL_126	Drug_9	0.6179
CCL_126	Drug_10	0.7926
CCL_126	Drug_17	0.8091
CCL_126	Drug_12	0.935
CCL_126	Drug_13	0.8577
CCL_126	Drug_14	0.7629
CCL_126	Drug_15	0.8325
CCL_126	Drug_16	0.8162
CCL_126	Drug_18	0.7051
CCL_126	Drug_19	0.9872
CCL_126	Drug_20	0.7571
CCL_126	Drug_21	0.927
CCL_126	Drug_22	0.7597
CCL_126	Drug_23	0.8165
CCL_126	Drug_24	0.986
CCL_127	Drug_11	0.7968
CCL_127	Drug_1	0.9182
CCL_127	Drug_2	0.6557
CCL_127	Drug_3	0.9389
CCL_127	Drug_4	0.6948
CCL_127	Drug_5	0.7047
CCL_127	Drug_6	0.8936
CCL_127	Drug_7	0.5765
CCL_127	Drug_8	0.9453
CCL_127	Drug_9	0.5926
CCL_127	Drug_10	0.7052
CCL_127	Drug_17	0.8371
CCL_127	Drug_12	0.7249
CCL_127	Drug_13	0.8078
CCL_127	Drug_14	0.845
CCL_127	Drug_15	0.9136
CCL_127	Drug_16	0.9424
CCL_127	Drug_18	0.3023
CCL_127	Drug_19	0.8636
CCL_127	Drug_20	0.9912
CCL_127	Drug_21	0.954
CCL_127	Drug_22	0.9805
CCL_127	Drug_23	0.8276
CCL_127	Drug_24	0.9703
CCL_132	Drug_11	0.862
CCL_132	Drug_1	0.7545
CCL_132	Drug_2	0.4964
CCL_132	Drug_3	0.9728
CCL_132	Drug_4	0.7304
CCL_132	Drug_5	0.7873
CCL_132	Drug_6	0.8725
CCL_132	Drug_7	0.7206
CCL_132	Drug_8	1.0
CCL_132	Drug_9	0.3578
